id,dataset
0000,thuman
0001,thuman
0005,thuman
0006,thuman
0007,thuman
0008,thuman
0015,thuman
0017,thuman
0026,thuman
0032,thuman
0033,thuman
0034,thuman
0036,thuman
0048,thuman
0055,thuman
0056,thuman
0057,thuman
0058,thuman
0059,thuman
0063,thuman
0069,thuman
0070,thuman
0075,thuman
0078,thuman
0079,thuman
0081,thuman
0082,thuman
0083,thuman
0085,thuman
0087,thuman
0088,thuman
0090,thuman
0099,thuman
0103,thuman
0114,thuman
0117,thuman
0118,thuman
0119,thuman
0120,thuman
0121,thuman
0122,thuman
0123,thuman
0125,thuman
0126,thuman
0128,thuman
0129,thuman
0136,thuman
0137,thuman
0138,thuman
0139,thuman
0140,thuman
0141,thuman
0142,thuman
0143,thuman
0144,thuman
0145,thuman
0150,thuman
0151,thuman
0153,thuman
0154,thuman
0155,thuman
0156,thuman
0158,thuman
0159,thuman
0160,thuman
0162,thuman
0167,thuman
0169,thuman
0171,thuman
0173,thuman
0177,thuman
0178,thuman
0181,thuman
0182,thuman
0183,thuman
0186,thuman
0187,thuman
0190,thuman
0191,thuman
0192,thuman
0197,thuman
0198,thuman
0210,thuman
0213,thuman
0214,thuman
0217,thuman
0218,thuman
0219,thuman
0234,thuman
0235,thuman
0236,thuman
0242,thuman
0243,thuman
0244,thuman
0249,thuman
0251,thuman
0252,thuman
0253,thuman
0254,thuman
0255,thuman
0260,thuman
0262,thuman
0270,thuman
0273,thuman
0279,thuman
0280,thuman
0283,thuman
0284,thuman
0286,thuman
0288,thuman
0300,thuman
0303,thuman
0308,thuman
0311,thuman
0312,thuman
0313,thuman
0314,thuman
0319,thuman
0321,thuman
0326,thuman
0328,thuman
0330,thuman
0331,thuman
0343,thuman
0345,thuman
0352,thuman
0356,thuman
0357,thuman
0362,thuman
0377,thuman
0378,thuman
0379,thuman
0389,thuman
0391,thuman
0392,thuman
0395,thuman
0396,thuman
0397,thuman
0398,thuman
0399,thuman
0400,thuman
0401,thuman
0402,thuman
0403,thuman
0404,thuman
0405,thuman
0406,thuman
0407,thuman
0409,thuman
0412,thuman
0414,thuman
0418,thuman
0420,thuman
0421,thuman
0427,thuman
0428,thuman
0429,thuman
0430,thuman
0431,thuman
0432,thuman
0434,thuman
0435,thuman
0438,thuman
0441,thuman
0448,thuman
0449,thuman
0451,thuman
0452,thuman
0453,thuman
0454,thuman
0459,thuman
0463,thuman
0464,thuman
0467,thuman
0470,thuman
0472,thuman
0476,thuman
0477,thuman
0478,thuman
0479,thuman
0482,thuman
0484,thuman
0485,thuman
0491,thuman
0492,thuman
0494,thuman
0495,thuman
0496,thuman
0502,thuman
0504,thuman
0505,thuman
0508,thuman
0512,thuman
0520,thuman
0521,thuman
0522,thuman
0523,thuman
0524,thuman
